Lambda , Rate_Mean            , Rate_Std             , Rate_Count, Distortion_Mean     , Distortion_Std      , Distortion_Count, Success_Rate_Mean , Success_Rate_Std    , Success_Rate_Count, Rate_SE             , Distortion_SE       , Success_Rate_SE
0.0    , 115.45928148345948   ,   3.275410605909328  ,          5, 0.0                 , 0.0                 ,                5, 1.0               , 0.0                 ,                  5,  1.4648081538074063 , 0.0                 , 0.0
5e-05  , 174.0432481584549    , 140.75099756354527   ,          5, 0.08600000000000001 , 0.19230184606498194 ,                5, 0.914             , 0.19230184606498194 ,                  5, 62.9457596905989    , 0.08600000000000001 , 0.08600000000000001
0.0001 , 108.97170793762207   ,   9.618659326409912  ,          5, 0.0                 , 0.0                 ,                5, 1.0               , 0.0                 ,                  5,  4.30159522125298   , 0.0                 , 0.0
0.00025, 104.4479799167633    ,  13.821084227566816  ,          5, 0.0                 , 0.0                 ,                5, 1.0               , 0.0                 ,                  5,  6.180976771117915  , 0.0                 , 0.0
0.0005 , 125.211266324234     ,  85.78502253203095   ,          5, 0.08480000000000001 , 0.1896185644919822  ,                5, 0.9151999999999999, 0.1896185644919822  ,                  5, 38.36422836659447   , 0.08480000000000001 , 0.08480000000000001
0.00075, 105.56617491865158   ,  42.950436032259894  ,          5, 0.08919999999999999 , 0.19945726359298122 ,                5, 0.9108            , 0.19945726359298124 ,                  5, 19.208018926277894  , 0.08919999999999999 , 0.0892
0.001  ,  81.97639683399201   ,  36.90813404061899   ,          5, 0.084               , 0.18782971010998234 ,                5, 0.916             , 0.18782971010998234 ,                  5, 16.50581932749961   , 0.08399999999999999 , 0.08399999999999999
0.002  ,  42.37995809232593   ,  11.264612034646897  ,          5, 0.006600000000000006, 0.014758048651498623,                5, 0.9934            , 0.014758048651498627,                  5,  5.037687649926535  , 0.006600000000000005, 0.006600000000000006
0.005  ,  23.249965106650258  ,  21.04693396575503   ,          5, 0.192               , 0.220918537022134   ,                5, 0.808             , 0.22091853702213407 ,                  5,  9.412475013075495  , 0.0987977732542591  , 0.09879777325425915
0.008  ,  11.31566590369537   ,  15.118574061832437  ,          5, 0.2806              , 0.2293955099822139  ,                5, 0.7194            , 0.22939550998221386 ,                  5,  6.761231865024487  , 0.10258879081069236 , 0.10258879081069235
0.01   ,   0.48580389982538763,   0.24509195909587211,          5, 0.44139999999999996 , 0.02086384432457256 ,                5, 0.5586            , 0.02086384432457256 ,                  5,  0.10960845625539359, 0.009330594836343485, 0.009330594836343485
0.015  ,   5.751412396801496  ,  12.134768543071393  ,          5, 0.2552              , 0.18963043004750052 ,                5, 0.7448            , 0.18963043004750052 ,                  5,  5.426833470706744  , 0.08480530643774596 , 0.08480530643774596
0.02   ,   0.2012731073293835 ,   0.10681715423325751,          5, 0.316               , 0.17011466721009097 ,                5, 0.6839999999999999, 0.17011466721009097 ,                  5,  0.04777008360572864, 0.07607759197030357 , 0.07607759197030357
0.03   ,   0.3471143360710703 ,   0.17380080934222472,          5, 0.31379999999999997 , 0.16766544068471592 ,                5, 0.6862            , 0.16766544068471592 ,                  5,  0.077726084846739  , 0.07498226456969673 , 0.07498226456969673
