Lambda,Seed,Rate,Distortion,Success_Rate,Shannon_Gap,Experiment_Time_Minutes
0.0,0,118.50678548908233,0.0,1.0,116.69673249528226,3.834564479192098
0.0,1,118.83220759773255,0.0,1.0,117.02215460393248,3.8126131693522134
0.0,2,111.22701602554321,0.0,1.0,109.41696303174314,3.823298756281535
0.0,3,113.3794902420044,0.0,1.0,111.56943724820432,3.810180075963338
0.0,4,115.35090806293488,0.0,1.0,113.5408550691348,3.807375446955363
5e-05,0,106.8784299659729,0.0,1.0,105.06837697217283,3.8238336563110353
5e-05,1,104.21020637893676,0.0,1.0,102.40015338513669,3.8115551630655924
5e-05,2,120.04824745082855,0.0,1.0,118.23819445702848,3.8200186610221865
5e-05,3,113.49319469165802,0.0,1.0,111.68314169785795,3.855516191323598
5e-05,4,425.58616230487826,0.43000000000000005,0.57,423.7761093110782,4.033724228541057
0.0001,0,109.61591055870056,0.0,1.0,107.80585756490049,3.8242360234260557
0.0001,1,97.65336139965058,0.0,1.0,95.84330840585051,3.8001995285352073
0.0001,2,114.19843338871001,0.0,1.0,112.38838039490994,3.819133158524831
0.0001,3,101.710462972641,0.0,1.0,99.90040997884093,3.812981832027435
0.0001,4,121.6803713684082,0.0,1.0,119.87031837460813,3.812147621313731
0.00025,0,88.39125037384034,0.0,1.0,86.58119738004027,3.8238744020462034
0.00025,1,125.73471447944641,0.0,1.0,123.92466148564634,3.8079504132270814
0.00025,2,107.18882057285309,0.0,1.0,105.37876757905302,3.8167751948038737
0.00025,3,97.82945557594299,0.0,1.0,96.01940258214292,3.8391150633494058
0.00025,4,103.0956585817337,0.0,1.0,101.28560558793363,4.765763986110687
0.0005,0,90.03192653751373,0.0,1.0,88.22187354371366,4.469279658794403
0.0005,1,88.77161420726776,0.0,1.0,86.96156121346769,3.763198415438334
0.0005,2,98.54460314178466,0.0,1.0,96.73455014798459,3.750412579377492
0.0005,3,71.0833326473236,0.0,1.0,69.27327965352353,3.730858818689982
0.0005,4,277.62485508728025,0.42400000000000004,0.576,275.8148020934802,3.9889765858650206
0.00075,0,85.97577452898025,0.0,1.0,84.16572153518018,3.755229115486145
0.00075,1,87.43615382146835,0.0,1.0,85.62610082766828,3.7401198824246724
0.00075,2,90.608172164917,0.0,1.0,88.79811917111692,3.7670249223709105
0.00075,3,81.63000373649596,0.0,1.0,79.8199507426959,3.759175721804301
0.00075,4,182.18077034139634,0.44599999999999995,0.554,180.37071734759627,3.984260312716166
0.001,0,68.33309605789185,0.0,1.0,66.52304306409178,3.7669896364212034
0.001,1,68.10261926269531,0.0,1.0,66.29256626889524,3.7599267919858295
0.001,2,147.8040317173004,0.42000000000000004,0.58,145.99397872350033,3.9727277557055154
0.001,3,64.06473987102508,0.0,1.0,62.254686877225005,3.7758699893951415
0.001,4,61.57749726104736,0.0,1.0,59.767444267247285,3.750684142112732
0.002,0,55.22461371588707,0.0,1.0,53.41456072208699,3.7274006446202597
0.002,1,52.638223334312435,0.03300000000000003,0.967,50.82817034051236,3.787609752019246
0.002,2,33.765044490337374,0.0,1.0,31.954991496537296,3.747586762905121
0.002,3,40.52950800609589,0.0,1.0,38.71945501229581,3.7332796176274616
0.002,4,29.742400914996864,0.0,1.0,27.932347921196786,3.5834951758384705
0.005,0,0.6574658725494519,0.43899999999999995,0.561,-1.1525871212506251,3.9957252025604246
0.005,1,0.24374707643128932,0.42700000000000005,0.573,-1.5663059173687879,3.9671687563260396
0.005,2,36.00701854911446,0.0,1.0,34.196965555314385,3.7527572989463804
0.005,3,35.78770714540035,0.05300000000000005,0.947,33.97765415160027,3.7975436449050903
0.005,4,43.553886889755724,0.041000000000000036,0.959,41.743833895955646,3.753105155626933
0.008,0,0.5962741703367792,0.43500000000000005,0.565,-1.213778823463298,3.977661979198456
0.008,1,0.22051173041935546,0.45799999999999996,0.542,-1.5895412633807218,4.01331596771876
0.008,2,0.2324886413021013,0.45099999999999996,0.549,-1.5775643524979759,3.973228907585144
0.008,3,25.283559097856283,0.025000000000000022,0.975,23.473506104056206,3.78008101383845
0.008,4,30.24549587856233,0.03400000000000003,0.966,28.435442884762253,3.787077228228251
0.01,0,0.6046092788456008,0.43899999999999995,0.561,-1.2054437149544763,3.9620065172513326
0.01,1,0.4565502942893654,0.44399999999999995,0.556,-1.3535026995107118,3.995584734280904
0.01,2,0.7074328739098273,0.43300000000000005,0.567,-1.1026201198902497,3.9862625996271768
0.01,3,0.07745509279856924,0.41700000000000004,0.583,-1.7325979010015078,3.952493453025818
0.01,4,0.5829719592835754,0.474,0.526,-1.2270810345165017,4.017517058054606
0.015,0,0.4182267631944269,0.44399999999999995,0.556,-1.3918262306056501,3.990433649222056
0.015,1,27.45742581724748,0.039000000000000035,0.961,25.6473728234474,3.763876962661743
0.015,2,0.38271085640136154,0.18400000000000005,0.816,-1.4273421373987156,3.9565637946128844
0.015,3,0.09412474122666754,0.14400000000000002,0.856,-1.7159282525734096,3.945185883839925
0.015,4,0.4045738059375435,0.46499999999999997,0.535,-1.4054791878625337,3.9945538600285846
0.02,0,0.28792715284088627,0.14400000000000002,0.856,-1.522125840959191,3.940552298227946
0.02,1,0.1762728691860102,0.43100000000000005,0.569,-1.6337801246140669,3.7903888980547586
0.02,2,0.14667551780305804,0.46099999999999997,0.539,-1.663377475997019,3.983195948600769
0.02,3,0.06640595174673945,0.42700000000000005,0.573,-1.7436470420533376,3.9982876141866046
0.02,4,0.3290840450702235,0.11699999999999999,0.883,-1.4809689487298536,3.9265168348948163
0.03,0,0.4851319694435224,0.376,0.624,-1.3249210243565548,3.9872409105300903
0.03,1,0.1907332942271605,0.127,0.873,-1.6193196995729167,3.945656414826711
0.03,2,0.5353307167501189,0.473,0.527,-1.2747222770499582,4.000136876106263
0.03,3,0.1449859602591023,0.14200000000000002,0.858,-1.6650670335409747,3.934525016943614
0.03,4,0.37938973967544737,0.45099999999999996,0.549,-1.4306632541246298,4.013237392902374
